,Protein,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin A,Vitamin C,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin E,Cholesterol,Pantothenic acid,Manganese,Biotin
broccoli,4.7,4.538461538461538,4.555555555555555,0.0,0.0,4.51063829787234,1.0434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulgur,25.0,3.4615384615384617,9.11111111111111,0.0,0.0,0.0,0.47826086956521735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burrito,18.82,4.538461538461538,11.777777777777779,0.0,0.0,0.0,18.434782608695652,0.0,0.0,0.0,26.111111111111114,3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.33333333333334,0.0,0.0,0.0
buttermilk,6.92,9.230769230769232,0.05555555555555555,2.619047619047619,7.359999999999999,3.361702127659574,4.0,3.909090909090909,0.1111111111111111,3.6363636363636362,4.0,1.1111111111111112,4.0,15.076923076923077,0.8,1.25,3.218181818181818,0.0,1.6666666666666667,0.0,0.0,0.0
butternut squash,2.36,3.6153846153846154,4.722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.7777777777778,23.555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,2.2,2.5384615384615383,13.88888888888889,3.3333333333333335,1.92,3.2127659574468086,21.65217391304348,2.0,2.6666666666666665,0.9090909090909091,0.5555555555555556,0.0,0.8333333333333334,16.153846153846153,6.875000000000001,13.0,2.8181818181818183,0.0,0.0,0.0,0.0,0.0
candy,15.380000000000003,11.846153846153847,0.0,0.0,0.0,0.0,6.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantaloupe,1.5,1.153846153846154,1.5000000000000002,0.0,0.0,0.0,0.826086956521739,0.0,0.0,0.0,414.44444444444446,39.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capers,0.0,0.0,6.666666666666667,0.0,0.0,0.0,116.08695652173913,0.0,0.0,0.0,0.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,1.7399999999999998,2.769230769230769,0.6666666666666666,2.857142857142857,2.8000000000000003,5.48936170212766,3.260869565217391,1.8181818181818183,5.666666666666666,0.0,84.66666666666667,4.666666666666667,4.5,8.153846153846153,6.7125,10.0,1.4909090909090907,0.0,0.0,0.0,0.0,0.0
cashew,24.24,4.6923076923076925,27.27777777777778,49.047619047619044,31.04,9.51063829787234,12.82608695652174,40.27272727272727,195.33333333333334,16.90909090909091,0.0,0.0,13.166666666666668,12.230769230769232,6.925000000000001,13.750000000000002,8.781818181818181,0.0,0.0,0.0,0.0,0.0
cauliflower,4.7,1.8461538461538463,3.2777777777777772,0.0,0.0,4.0,1.0434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caviar,49.2,21.153846153846153,66.0,71.42857142857143,28.48,3.851063829787234,65.21739130434783,8.636363636363637,12.222222222222221,119.0909090909091,30.11111111111111,0.0,15.833333333333336,47.692307692307686,0.75,12.5,89.25454545454545,0.0,196.0,0.0,0.0,0.0
celery,0.0,2.769230769230769,1.8333333333333333,0.0,0.0,0.0,4.565217391304348,0.0,0.0,0.0,20.22222222222222,9.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheddar,50.0,54.92307692307692,0.0,0.0,0.0,0.0,27.956521739130437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,0.0,0.0,0.0
cheese,42.2,0.0,0.0,0.0,0.0,0.0,26.043478260869563,0.0,0.0,0.0,19.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,0.0,0.0,0.0
cherry,8.0,3.076923076923077,8.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,0.0,111.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chestnut,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,42.8,0.0,0.0,0.0,0.0,0.0,7.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
chickpea,38.0,7.6923076923076925,34.0,0.0,0.0,0.0,1.0434782608695654,0.0,0.0,0.0,5.555555555555555,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chile pepper,21.2,3.4615384615384617,33.55555555555556,20.952380952380953,12.72,39.787234042553195,3.956521739130435,9.272727272727273,25.333333333333336,6.363636363636363,2944.4444444444443,34.888888888888886,6.75,92.3076923076923,54.1875,12.75,15.327272727272726,0.0,0.0,19.119999999999997,35.69565217391305,0.0
chili,13.56,1.3076923076923077,3.3888888888888884,0.0,0.0,0.0,18.217391304347828,0.0,0.0,0.0,23.555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
chive,6.54,7.076923076923077,8.88888888888889,10.0,4.64,6.297872340425532,0.13043478260869568,5.090909090909091,17.444444444444443,1.6363636363636365,24.22222222222222,64.55555555555556,6.5,8.846153846153847,4.04375,26.25,0.9454545454545455,0.0,0.0,0.0,0.0,0.0
chocolate,5.88,0.0,23.555555555555557,0.0,0.0,0.0,1.2608695652173914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,7.139999999999999,0.0,10.722222222222221,0.0,0.0,0.0,11.347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cod,24.8,2.6923076923076925,4.722222222222222,0.0,0.0,0.0,18.173913043478258,0.0,0.0,0.0,13.111111111111112,3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666668,0.0,0.0,0.0
coriander,24.8,54.53846153846153,90.55555555555556,78.57142857142857,32.72,27.02127659574468,1.5217391304347827,42.727272727272734,108.33333333333333,47.63636363636364,0.0,23.333333333333332,19.916666666666664,22.307692307692307,13.3125,0.0,0.0,0.0,0.0,0.0,82.6086956521739,0.0
corn,1.6,0.23076923076923078,0.0,0.0,0.0,1.446808510638298,10.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,35.76,7.000000000000001,2.7777777777777777,8.571428571428571,18.72,5.51063829787234,17.17391304347826,34.63636363636364,90.44444444444444,78.0,0.1111111111111111,3.6666666666666665,1.916666666666667,7.153846153846153,17.16875,12.75,14.70909090909091,0.0,32.33333333333333,0.0,0.0,0.0
cranberry,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.6521739130434783,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cream cheese,14.279999999999998,5.461538461538462,0.0,0.0,0.0,0.0,14.739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66666666666667,0.0,0.0,0.0
cucumber,1.0,1.0769230769230769,0.3888888888888889,1.9047619047619049,1.52,2.9148936170212765,10.26086956521739,1.3636363636363635,5.0,0.5454545454545454,0.33333333333333337,2.7777777777777777,1.7500000000000002,1.846153846153846,0.44999999999999996,1.5,0.7818181818181817,0.0,0.0,0.0,0.0,0.0
curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,10.16,9.0,1.6666666666666667,2.857142857142857,9.68,3.361702127659574,3.6521739130434785,5.363636363636363,0.1111111111111111,13.090909090909092,9.11111111111111,0.0,4.0,14.615384615384617,0.59375,2.5,10.745454545454546,0.0,26.666666666666668,0.0,0.0,0.0
dairy,6.660000000000001,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.88888888888889,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
date,4.9,3.0,5.666666666666667,10.238095238095237,4.96,13.957446808510637,0.08695652173913043,2.6363636363636362,22.888888888888886,5.454545454545454,0.0,0.4444444444444444,4.333333333333334,5.076923076923077,7.9625,4.75,1.1454545454545453,0.0,0.0,0.0,0.0,0.0
duck,0.72,0.8461538461538461,2.166666666666667,1.1904761904761905,0.72,1.8510638297872342,30.956521739130434,1.909090909090909,4.111111111111111,2.3636363636363638,0.8888888888888888,1.0,1.916666666666667,1.0769230769230769,1.49375,0.5,0.3090909090909091,0.0,0.0,0.0,0.0,0.0
egg,12.82,9.846153846153847,0.0,0.0,0.0,0.0,7.652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666668,0.0,0.0,0.0
eggplant,9.6,2.6923076923076925,9.388888888888888,19.761904761904763,13.120000000000001,5.617021276595745,9.086956521739129,12.363636363636363,43.77777777777778,17.636363636363637,0.7777777777777778,7.888888888888888,19.166666666666668,9.461538461538462,10.15,9.75,2.0,0.0,0.0,0.0,0.0,0.0
